2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01032507 : Liverpool 050H,48.4,33.8,12.1,4.6,1.2,
E01033748 : Liverpool 050I,53.2,36.0,7.9,2.3,0.6,
E01033767 : Liverpool 050J,45.3,28.4,15.9,8.7,1.6,
E01006793 : Liverpool 051A,46.9,29.8,15.6,5.6,2.1,
E01006795 : Liverpool 051B,52.4,31.2,12.2,2.9,1.2,
E01006797 : Liverpool 051C,48.0,28.1,14.1,7.6,2.1,
E01006798 : Liverpool 051D,50.8,31.9,12.0,4.0,1.3,
E01006799 : Liverpool 051E,36.4,30.7,17.6,11.0,4.3,
E01006521 : Liverpool 052A,45.6,31.1,15.0,7.1,1.2,
E01006523 : Liverpool 052B,45.5,29.4,17.1,5.9,2.1,
E01006528 : Liverpool 052C,55.3,28.8,11.2,3.2,1.6,
E01006628 : Liverpool 052D,51.4,34.3,10.0,3.2,1.0,
E01006629 : Liverpool 052E,50.1,28.6,14.1,5.1,2.1,
E01006527 : Liverpool 053A,47.0,32.2,12.4,7.0,1.4,
E01006680 : Liverpool 053B,52.0,31.9,11.5,3.8,0.8,
E01006682 : Liverpool 053C,56.9,31.2,8.4,2.7,0.9,
E01006683 : Liverpool 053D,58.3,28.8,8.8,3.1,1.0,
E01006686 : Liverpool 053E,52.3,33.0,10.4,3.5,0.9,
E01006534 : Liverpool 054A,53.4,28.7,11.7,4.6,1.5,
E01006535 : Liverpool 054B,45.2,33.1,14.4,4.7,2.6,
E01006536 : Liverpool 054C,41.8,32.2,15.7,8.1,2.3,
E01006681 : Liverpool 054D,48.5,29.2,13.8,6.4,2.2,
E01006530 : Liverpool 055A,56.6,26.1,12.1,3.5,1.6,
E01006531 : Liverpool 055B,50.0,29.7,14.9,3.9,1.5,
E01006533 : Liverpool 055C,46.8,33.2,12.3,5.9,1.8,
E01006537 : Liverpool 055D,53.6,30.7,10.9,3.8,1.1,
E01006538 : Liverpool 055E,50.3,31.8,12.4,4.2,1.4,
E01006519 : Liverpool 056A,56.7,29.3,11.1,2.3,0.6,
E01006684 : Liverpool 056B,53.4,32.4,9.4,3.8,1.1,
